Id,ActivityHour,StepTotal
1503960366,3/12/2016 12:00:00 AM,0
1503960366,3/12/2016 1:00:00 AM,0
1503960366,3/12/2016 2:00:00 AM,0
1503960366,3/12/2016 3:00:00 AM,0
1503960366,3/12/2016 4:00:00 AM,0
1503960366,3/12/2016 5:00:00 AM,0
1503960366,3/12/2016 6:00:00 AM,0
1503960366,3/12/2016 7:00:00 AM,0
1503960366,3/12/2016 8:00:00 AM,0
1503960366,3/12/2016 9:00:00 AM,8
1503960366,3/12/2016 10:00:00 AM,551
1503960366,3/12/2016 11:00:00 AM,1764
1503960366,3/12/2016 12:00:00 PM,1259
1503960366,3/12/2016 1:00:00 PM,253
1503960366,3/12/2016 2:00:00 PM,4470
1503960366,3/12/2016 3:00:00 PM,4919
1503960366,3/12/2016 4:00:00 PM,1905
1503960366,3/12/2016 5:00:00 PM,1038
1503960366,3/12/2016 6:00:00 PM,14
1503960366,3/12/2016 7:00:00 PM,606
1503960366,3/12/2016 8:00:00 PM,56
1503960366,3/12/2016 9:00:00 PM,782
1503960366,3/12/2016 10:00:00 PM,1132
1503960366,3/12/2016 11:00:00 PM,918
1503960366,3/13/2016 12:00:00 AM,39
1503960366,3/13/2016 1:00:00 AM,0
1503960366,3/13/2016 2:00:00 AM,27
1503960366,3/13/2016 3:00:00 AM,0
1503960366,3/13/2016 4:00:00 AM,0
1503960366,3/13/2016 5:00:00 AM,0
1503960366,3/13/2016 6:00:00 AM,0
1503960366,3/13/2016 7:00:00 AM,0
1503960366,3/13/2016 8:00:00 AM,6
1503960366,3/13/2016 9:00:00 AM,73
1503960366,3/13/2016 10:00:00 AM,2850
1503960366,3/13/2016 11:00:00 AM,4854
1503960366,3/13/2016 12:00:00 PM,24
1503960366,3/13/2016 1:00:00 PM,118
1503960366,3/13/2016 2:00:00 PM,19
1503960366,3/13/2016 3:00:00 PM,510
1503960366,3/13/2016 4:00:00 PM,510
1503960366,3/13/2016 5:00:00 PM,96
1503960366,3/13/2016 6:00:00 PM,4100
1503960366,3/13/2016 7:00:00 PM,1756
1503960366,3/13/2016 8:00:00 PM,477
1503960366,3/13/2016 9:00:00 PM,147
1503960366,3/13/2016 10:00:00 PM,214
1503960366,3/13/2016 11:00:00 PM,1286
1503960366,3/14/2016 12:00:00 AM,54
1503960366,3/14/2016 1:00:00 AM,53
1503960366,3/14/2016 2:00:00 AM,0
1503960366,3/14/2016 3:00:00 AM,0
1503960366,3/14/2016 4:00:00 AM,0
1503960366,3/14/2016 5:00:00 AM,0
1503960366,3/14/2016 6:00:00 AM,0
1503960366,3/14/2016 7:00:00 AM,53
1503960366,3/14/2016 8:00:00 AM,212
1503960366,3/14/2016 9:00:00 AM,2832
1503960366,3/14/2016 10:00:00 AM,43
1503960366,3/14/2016 11:00:00 AM,220
1503960366,3/14/2016 12:00:00 PM,181
1503960366,3/14/2016 1:00:00 PM,12
1503960366,3/14/2016 2:00:00 PM,44
1503960366,3/14/2016 3:00:00 PM,205
1503960366,3/14/2016 4:00:00 PM,152
1503960366,3/14/2016 5:00:00 PM,226
1503960366,3/14/2016 6:00:00 PM,516
1503960366,3/14/2016 7:00:00 PM,559
1503960366,3/14/2016 8:00:00 PM,1104
1503960366,3/14/2016 9:00:00 PM,252
1503960366,3/14/2016 10:00:00 PM,0
1503960366,3/14/2016 11:00:00 PM,3305
1503960366,3/15/2016 12:00:00 AM,33
1503960366,3/15/2016 1:00:00 AM,20
1503960366,3/15/2016 2:00:00 AM,60
1503960366,3/15/2016 3:00:00 AM,0
1503960366,3/15/2016 4:00:00 AM,7
1503960366,3/15/2016 5:00:00 AM,0
1503960366,3/15/2016 6:00:00 AM,4
1503960366,3/15/2016 7:00:00 AM,11
1503960366,3/15/2016 8:00:00 AM,470
1503960366,3/15/2016 9:00:00 AM,1967
1503960366,3/15/2016 10:00:00 AM,729
1503960366,3/15/2016 11:00:00 AM,659
1503960366,3/15/2016 12:00:00 PM,1787
1503960366,3/15/2016 1:00:00 PM,333
1503960366,3/15/2016 2:00:00 PM,980
1503960366,3/15/2016 3:00:00 PM,371
1503960366,3/15/2016 4:00:00 PM,605
1503960366,3/15/2016 5:00:00 PM,623
1503960366,3/15/2016 6:00:00 PM,467
1503960366,3/15/2016 7:00:00 PM,282
1503960366,3/15/2016 8:00:00 PM,3319
1503960366,3/15/2016 9:00:00 PM,1558
1503960366,3/15/2016 10:00:00 PM,786
1503960366,3/15/2016 11:00:00 PM,313
1503960366,3/16/2016 12:00:00 AM,0
1503960366,3/16/2016 1:00:00 AM,0
1503960366,3/16/2016 2:00:00 AM,4
1503960366,3/16/2016 3:00:00 AM,0
1503960366,3/16/2016 4:00:00 AM,0
1503960366,3/16/2016 5:00:00 AM,0
1503960366,3/16/2016 6:00:00 AM,0
1503960366,3/16/2016 7:00:00 AM,70
