Id,ActivityHour,Calories
1503960366,3/12/2016 12:00:00 AM,48
1503960366,3/12/2016 1:00:00 AM,48
1503960366,3/12/2016 2:00:00 AM,48
1503960366,3/12/2016 3:00:00 AM,48
1503960366,3/12/2016 4:00:00 AM,48
1503960366,3/12/2016 5:00:00 AM,48
1503960366,3/12/2016 6:00:00 AM,48
1503960366,3/12/2016 7:00:00 AM,48
1503960366,3/12/2016 8:00:00 AM,48
1503960366,3/12/2016 9:00:00 AM,49
1503960366,3/12/2016 10:00:00 AM,89
1503960366,3/12/2016 11:00:00 AM,134
1503960366,3/12/2016 12:00:00 PM,130
1503960366,3/12/2016 1:00:00 PM,81
1503960366,3/12/2016 2:00:00 PM,254
1503960366,3/12/2016 3:00:00 PM,271
1503960366,3/12/2016 4:00:00 PM,141
1503960366,3/12/2016 5:00:00 PM,104
1503960366,3/12/2016 6:00:00 PM,54
1503960366,3/12/2016 7:00:00 PM,97
1503960366,3/12/2016 8:00:00 PM,58
1503960366,3/12/2016 9:00:00 PM,100
1503960366,3/12/2016 10:00:00 PM,123
1503960366,3/12/2016 11:00:00 PM,111
1503960366,3/13/2016 12:00:00 AM,55
1503960366,3/13/2016 1:00:00 AM,48
1503960366,3/13/2016 2:00:00 AM,50
1503960366,3/13/2016 3:00:00 AM,48
1503960366,3/13/2016 4:00:00 AM,48
1503960366,3/13/2016 5:00:00 AM,48
1503960366,3/13/2016 6:00:00 AM,48
1503960366,3/13/2016 7:00:00 AM,49
1503960366,3/13/2016 8:00:00 AM,49
1503960366,3/13/2016 9:00:00 AM,56
1503960366,3/13/2016 10:00:00 AM,189
1503960366,3/13/2016 11:00:00 AM,270
1503960366,3/13/2016 12:00:00 PM,52
1503960366,3/13/2016 1:00:00 PM,66
1503960366,3/13/2016 2:00:00 PM,57
1503960366,3/13/2016 3:00:00 PM,89
1503960366,3/13/2016 4:00:00 PM,91
1503960366,3/13/2016 5:00:00 PM,61
1503960366,3/13/2016 6:00:00 PM,237
1503960366,3/13/2016 7:00:00 PM,146
1503960366,3/13/2016 8:00:00 PM,87
1503960366,3/13/2016 9:00:00 PM,66
1503960366,3/13/2016 10:00:00 PM,72
1503960366,3/13/2016 11:00:00 PM,118
1503960366,3/14/2016 12:00:00 AM,56
1503960366,3/14/2016 1:00:00 AM,54
1503960366,3/14/2016 2:00:00 AM,49
1503960366,3/14/2016 3:00:00 AM,48
1503960366,3/14/2016 4:00:00 AM,48
1503960366,3/14/2016 5:00:00 AM,49
1503960366,3/14/2016 6:00:00 AM,48
1503960366,3/14/2016 7:00:00 AM,53
1503960366,3/14/2016 8:00:00 AM,68
1503960366,3/14/2016 9:00:00 AM,199
1503960366,3/14/2016 10:00:00 AM,59
1503960366,3/14/2016 11:00:00 AM,72
1503960366,3/14/2016 12:00:00 PM,66
1503960366,3/14/2016 1:00:00 PM,54
1503960366,3/14/2016 2:00:00 PM,59
1503960366,3/14/2016 3:00:00 PM,71
1503960366,3/14/2016 4:00:00 PM,68
1503960366,3/14/2016 5:00:00 PM,76
1503960366,3/14/2016 6:00:00 PM,96
1503960366,3/14/2016 7:00:00 PM,100
1503960366,3/14/2016 8:00:00 PM,124
1503960366,3/14/2016 9:00:00 PM,67
1503960366,3/14/2016 10:00:00 PM,48
1503960366,3/14/2016 11:00:00 PM,198
1503960366,3/15/2016 12:00:00 AM,56
1503960366,3/15/2016 1:00:00 AM,55
1503960366,3/15/2016 2:00:00 AM,54
1503960366,3/15/2016 3:00:00 AM,48
1503960366,3/15/2016 4:00:00 AM,49
1503960366,3/15/2016 5:00:00 AM,48
1503960366,3/15/2016 6:00:00 AM,49
1503960366,3/15/2016 7:00:00 AM,49
1503960366,3/15/2016 8:00:00 AM,91
1503960366,3/15/2016 9:00:00 AM,148
1503960366,3/15/2016 10:00:00 AM,92
1503960366,3/15/2016 11:00:00 AM,104
1503960366,3/15/2016 12:00:00 PM,142
1503960366,3/15/2016 1:00:00 PM,77
1503960366,3/15/2016 2:00:00 PM,107
1503960366,3/15/2016 3:00:00 PM,77
1503960366,3/15/2016 4:00:00 PM,96
1503960366,3/15/2016 5:00:00 PM,90
1503960366,3/15/2016 6:00:00 PM,82
1503960366,3/15/2016 7:00:00 PM,75
1503960366,3/15/2016 8:00:00 PM,207
1503960366,3/15/2016 9:00:00 PM,131
1503960366,3/15/2016 10:00:00 PM,108
1503960366,3/15/2016 11:00:00 PM,76
1503960366,3/16/2016 12:00:00 AM,48
1503960366,3/16/2016 1:00:00 AM,48
1503960366,3/16/2016 2:00:00 AM,50
1503960366,3/16/2016 3:00:00 AM,48
1503960366,3/16/2016 4:00:00 AM,48
1503960366,3/16/2016 5:00:00 AM,49
1503960366,3/16/2016 6:00:00 AM,48
1503960366,3/16/2016 7:00:00 AM,56
1503960366,3/16/2016 8:00:00 AM,91
1503960366,3/16/2016 9:00:00 AM,125
1503960366,3/16/2016 10:00:00 AM,73
1503960366,3/16/2016 11:00:00 AM,105
1503960366,3/16/2016 12:00:00 PM,124
1503960366,3/16/2016 1:00:00 PM,79
1503960366,3/16/2016 2:00:00 PM,61
1503960366,3/16/2016 3:00:00 PM,86
1503960366,3/16/2016 4:00:00 PM,103
1503960366,3/16/2016 5:00:00 PM,122
1503960366,3/16/2016 6:00:00 PM,166
1503960366,3/16/2016 7:00:00 PM,59
1503960366,3/16/2016 8:00:00 PM,72
1503960366,3/16/2016 9:00:00 PM,146
1503960366,3/16/2016 10:00:00 PM,78
1503960366,3/16/2016 11:00:00 PM,82
1503960366,3/17/2016 12:00:00 AM,70
1503960366,3/17/2016 1:00:00 AM,50
1503960366,3/17/2016 2:00:00 AM,49
1503960366,3/17/2016 3:00:00 AM,48
1503960366,3/17/2016 4:00:00 AM,48
1503960366,3/17/2016 5:00:00 AM,48
1503960366,3/17/2016 6:00:00 AM,49
1503960366,3/17/2016 7:00:00 AM,50
1503960366,3/17/2016 8:00:00 AM,67
1503960366,3/17/2016 9:00:00 AM,125
1503960366,3/17/2016 10:00:00 AM,69
1503960366,3/17/2016 11:00:00 AM,148
1503960366,3/17/2016 12:00:00 PM,70
1503960366,3/17/2016 1:00:00 PM,113
1503960366,3/17/2016 2:00:00 PM,119
1503960366,3/17/2016 3:00:00 PM,86
1503960366,3/17/2016 4:00:00 PM,94
1503960366,3/17/2016 5:00:00 PM,66
1503960366,3/17/2016 6:00:00 PM,76
1503960366,3/17/2016 7:00:00 PM,158
1503960366,3/17/2016 8:00:00 PM,75
1503960366,3/17/2016 9:00:00 PM,146
1503960366,3/17/2016 10:00:00 PM,97
1503960366,3/17/2016 11:00:00 PM,118
1503960366,3/18/2016 12:00:00 AM,76
1503960366,3/18/2016 1:00:00 AM,58
1503960366,3/18/2016 2:00:00 AM,48
1503960366,3/18/2016 3:00:00 AM,48
1503960366,3/18/2016 4:00:00 AM,48
1503960366,3/18/2016 5:00:00 AM,49
1503960366,3/18/2016 6:00:00 AM,51
1503960366,3/18/2016 7:00:00 AM,49
1503960366,3/18/2016 8:00:00 AM,67
1503960366,3/18/2016 9:00:00 AM,147
1503960366,3/18/2016 10:00:00 AM,73
1503960366,3/18/2016 11:00:00 AM,72
1503960366,3/18/2016 12:00:00 PM,64
1503960366,3/18/2016 1:00:00 PM,68
1503960366,3/18/2016 2:00:00 PM,207
1503960366,3/18/2016 3:00:00 PM,101
1503960366,3/18/2016 4:00:00 PM,76
1503960366,3/18/2016 5:00:00 PM,59
1503960366,3/18/2016 6:00:00 PM,82
1503960366,3/18/2016 7:00:00 PM,238
1503960366,3/18/2016 8:00:00 PM,121
1503960366,3/18/2016 9:00:00 PM,72
1503960366,3/18/2016 10:00:00 PM,54
1503960366,3/18/2016 11:00:00 PM,74
1503960366,3/19/2016 12:00:00 AM,57
1503960366,3/19/2016 1:00:00 AM,48
1503960366,3/19/2016 2:00:00 AM,48
1503960366,3/19/2016 3:00:00 AM,49
1503960366,3/19/2016 4:00:00 AM,48
1503960366,3/19/2016 5:00:00 AM,48
1503960366,3/19/2016 6:00:00 AM,49
1503960366,3/19/2016 7:00:00 AM,52
1503960366,3/19/2016 8:00:00 AM,92
1503960366,3/19/2016 9:00:00 AM,216
1503960366,3/19/2016 10:00:00 AM,148
1503960366,3/19/2016 11:00:00 AM,130
1503960366,3/19/2016 12:00:00 PM,109
1503960366,3/19/2016 1:00:00 PM,74
1503960366,3/19/2016 2:00:00 PM,71
1503960366,3/19/2016 3:00:00 PM,61
1503960366,3/19/2016 4:00:00 PM,63
1503960366,3/19/2016 5:00:00 PM,69
1503960366,3/19/2016 6:00:00 PM,58
1503960366,3/19/2016 7:00:00 PM,92
1503960366,3/19/2016 8:00:00 PM,86
